Time,Concentrations,value,Labels,Dataset,id
1,60_1.5y ng/test,95.48683660676974,60_1.5y ng/test,1.5y + 5y full titration,95
1.5,60_1.5y ng/test,93.20936063518596,60_1.5y ng/test,1.5y + 5y full titration,96
0,30_1.5y ng/test,100,30_1.5y ng/test,1.5y + 5y full titration,97
0.5,30_1.5y ng/test,96.90955486248937,30_1.5y ng/test,1.5y + 5y full titration,98
1,30_1.5y ng/test,93.25205557130705,30_1.5y ng/test,1.5y + 5y full titration,99
1.5,30_1.5y ng/test,94.38616387865041,30_1.5y ng/test,1.5y + 5y full titration,100
0,15 ng/test,100,15 ng/test,1.5y + 5y full titration,101
0.5,15 ng/test,100,15 ng/test,1.5y + 5y full titration,102
1,15 ng/test,95,15 ng/test,1.5y + 5y full titration,103
1.5,15 ng/test,95,15 ng/test,1.5y + 5y full titration,104
2,15 ng/test,74,15 ng/test,1.5y + 5y full titration,105
3,15 ng/test,76,15 ng/test,1.5y + 5y full titration,106
4,15 ng/test,80,15 ng/test,1.5y + 5y full titration,107
5,15 ng/test,71,15 ng/test,1.5y + 5y full titration,108
0,30 ng/test,100,30 ng/test,1.5y + 5y full titration,109
0.5,30 ng/test,100,30 ng/test,1.5y + 5y full titration,110
1,30 ng/test,97,30 ng/test,1.5y + 5y full titration,111
1.5,30 ng/test,98,30 ng/test,1.5y + 5y full titration,112
2,30 ng/test,59,30 ng/test,1.5y + 5y full titration,113
3,30 ng/test,60,30 ng/test,1.5y + 5y full titration,114
4,30 ng/test,65,30 ng/test,1.5y + 5y full titration,115
5,30 ng/test,64,30 ng/test,1.5y + 5y full titration,116
0,60 ng/test,100,60 ng/test,1.5y + 5y full titration,117
0.5,60 ng/test,102,60 ng/test,1.5y + 5y full titration,118
1,60 ng/test,82,60 ng/test,1.5y + 5y full titration,119
1.5,60 ng/test,79,60 ng/test,1.5y + 5y full titration,120
2,60 ng/test,76,60 ng/test,1.5y + 5y full titration,121
3,60 ng/test,79,60 ng/test,1.5y + 5y full titration,122
4,60 ng/test,76,60 ng/test,1.5y + 5y full titration,123
5,60 ng/test,66,60 ng/test,1.5y + 5y full titration,124
0,125 ng/test,100,125 ng/test,1.5y + 5y full titration,125
0.5,125 ng/test,106,125 ng/test,1.5y + 5y full titration,126
1,125 ng/test,98,125 ng/test,1.5y + 5y full titration,127
1.5,125 ng/test,102,125 ng/test,1.5y + 5y full titration,128
2,125 ng/test,76,125 ng/test,1.5y + 5y full titration,129
3,125 ng/test,98,125 ng/test,1.5y + 5y full titration,130
4,125 ng/test,85,125 ng/test,1.5y + 5y full titration,131
5,125 ng/test,70,125 ng/test,1.5y + 5y full titration,132
0,250 ng/test,100,250 ng/test,1.5y + 5y full titration,133
0.5,250 ng/test,100,250 ng/test,1.5y + 5y full titration,134
1,250 ng/test,82,250 ng/test,1.5y + 5y full titration,135
1.5,250 ng/test,82,250 ng/test,1.5y + 5y full titration,136
2,250 ng/test,50,250 ng/test,1.5y + 5y full titration,137
3,250 ng/test,52,250 ng/test,1.5y + 5y full titration,138
4,250 ng/test,75,250 ng/test,1.5y + 5y full titration,139
5,250 ng/test,51,250 ng/test,1.5y + 5y full titration,140
0,500 ng/test,100,500 ng/test,1.5y + 5y full titration,141
0.5,500 ng/test,96,500 ng/test,1.5y + 5y full titration,142
1,500 ng/test,65,500 ng/test,1.5y + 5y full titration,143
1.5,500 ng/test,96,500 ng/test,1.5y + 5y full titration,144
2,500 ng/test,70,500 ng/test,1.5y + 5y full titration,145
3,500 ng/test,70,500 ng/test,1.5y + 5y full titration,146
4,500 ng/test,94,500 ng/test,1.5y + 5y full titration,147
5,500 ng/test,93,500 ng/test,1.5y + 5y full titration,148
0,1000 ng/test,100,1000 ng/test,1.5y + 5y full titration,149
0.5,1000 ng/test,99,1000 ng/test,1.5y + 5y full titration,150
1,1000 ng/test,99,1000 ng/test,1.5y + 5y full titration,151
1.5,1000 ng/test,83,1000 ng/test,1.5y + 5y full titration,152
2,1000 ng/test,59,1000 ng/test,1.5y + 5y full titration,153
3,1000 ng/test,66,1000 ng/test,1.5y + 5y full titration,154
4,1000 ng/test,83,1000 ng/test,1.5y + 5y full titration,155
5,1000 ng/test,59,1000 ng/test,1.5y + 5y full titration,156
0,2000 ng/test,100,2000 ng/test,1.5y + 5y full titration,157
0.5,2000 ng/test,56,2000 ng/test,1.5y + 5y full titration,158
1,2000 ng/test,56,2000 ng/test,1.5y + 5y full titration,159
1.5,2000 ng/test,55,2000 ng/test,1.5y + 5y full titration,160
2,2000 ng/test,37,2000 ng/test,1.5y + 5y full titration,161
3,2000 ng/test,55,2000 ng/test,1.5y + 5y full titration,162
4,2000 ng/test,42,2000 ng/test,1.5y + 5y full titration,163
5,2000 ng/test,36,2000 ng/test,1.5y + 5y full titration,164
0,125_1.5y ng/test,100,125_1.5y ng/test,1.5y + 5y short titration,165
0.5,125_1.5y ng/test,98.06788511749347,125_1.5y ng/test,1.5y + 5y short titration,166
1,125_1.5y ng/test,98.06788511749347,125_1.5y ng/test,1.5y + 5y short titration,167
1.5,125_1.5y ng/test,95.47432550043517,125_1.5y ng/test,1.5y + 5y short titration,168
0,60_1.5y ng/test,100,60_1.5y ng/test,1.5y + 5y short titration,169
0.5,60_1.5y ng/test,98.55829502716256,60_1.5y ng/test,1.5y + 5y short titration,170
1,60_1.5y ng/test,95.48683660676974,60_1.5y ng/test,1.5y + 5y short titration,171
1.5,60_1.5y ng/test,93.20936063518596,60_1.5y ng/test,1.5y + 5y short titration,172
0,30_1.5y ng/test,100,30_1.5y ng/test,1.5y + 5y short titration,173
0.5,30_1.5y ng/test,96.90955486248937,30_1.5y ng/test,1.5y + 5y short titration,174
1,30_1.5y ng/test,93.25205557130705,30_1.5y ng/test,1.5y + 5y short titration,175
1.5,30_1.5y ng/test,94.38616387865041,30_1.5y ng/test,1.5y + 5y short titration,176
0,30 ng/test,100,30 ng/test,1.5y + 5y short titration,177
0.5,30 ng/test,100,30 ng/test,1.5y + 5y short titration,178
1,30 ng/test,97,30 ng/test,1.5y + 5y short titration,179
1.5,30 ng/test,98,30 ng/test,1.5y + 5y short titration,180
2,30 ng/test,59,30 ng/test,1.5y + 5y short titration,181
