Condition,"75% Threshold, No CI","80% Threshold, No CI","75% Threshold, Lwr 95% CI","80% Threshold, Lwr 95% CI"
"Linear, Raw",1,1,1,0
"Linear, Optimal",1,0,1,0
"2nd Order, Raw",0.3333333333333333,0.3333333333333333,0.3333333333333333,0
"2nd Order, Optimal",0.5,0.25,0.25,0.25
Linear,1,0.5,1,0
2nd Order,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.14285714285714285
Raw,0.5,0.5,0.5,0
Optimal,0.6,0.2,0.4,0.2
