Time,Conc_30_ng,Conc_60_ng,Conc_125_ng,Conc_250_ng,Conc_500_ng,Conc_1000_ng,Conc_2000_ng
0,,,,,,,
0.5,,,,,,,
1,,,,,,,
1.5,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
