Time,Conc_30_ng,Conc_60_ng,Conc_125_ng,Conc_250_ng,Conc_500_ng,Conc_1000_ng,Conc_2000_ng
0,100,100,100,100,100,100,100
0.5,102.0491803,99.37984496,95.70208222,86.28476349,90.00247463,87.25198413,91.29312368
1,87.10879285,87.00775194,84.4901228,82.57665795,87.77530314,87.62400794,85.35555034
1.5,90.83457526,87,85.37106247,78.58331353,83.51893096,84.5734127,78.71391692
2,86.58718331,86.82170543,83.98291511,79.55787972,79.80697847,83.0109127,80.0281624
3,87.63040238,79.1627907,82.11425521,75.54076539,79.46052957,78.81944444,71.43862943
4,81.14754098,79.9379845,79.31126535,73.85310197,76.88690918,78.17460317,73.38652898
5,82.26527571,79.9379845,76.29471436,69.19420014,77.06013363,75.04960317,73.2222483
